SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, -0.04909671, -0.99145073, 0.18579650, -1.00971746, 3.65931582, -0.80813414, -41.09909439, -21.04647827, 100.02922821, 97.28640747, -2.89535785, 93.36603546, 0.43935272, -0.52692479, -0.53449392, -0.49359488, -0.00148597, 0.00049780, -0.06103532, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0000, 0, -0.00334021, -0.77556121, -0.62411714, 3.90204144, 5.13508081, 1.94963861, -43.17451096, -12.74481106, -103.30312347, 51.55654144, 1.80788147, 24.43771553, 0.88142717, -0.42197812, -0.10591564, -0.18385503, 0.03477780, -0.00710562, 0.00247078, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.04994335, -0.99246353, 0.18732792, -1.09792912, 3.60354066, -0.73909527, -40.92370605, -20.60800934, 99.97076416, 97.27357483, -2.89255929, 93.40275574, 0.43926710, -0.52669287, -0.53461885, -0.49378321, -0.00053470, 0.00161148, -0.06171929, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.00200564, -0.77754468, -0.62253118, 3.79494524, 5.18482113, 2.03864145, -43.75913239, -12.45249939, -103.53697968, 51.59612656, 1.82463014, 24.49090958, 0.88120735, -0.42220441, -0.10630353, -0.18416493, 0.03373571, -0.00555380, 0.00144345, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.04789019, -0.99356323, 0.18708694, -1.21998096, 3.48048186, -0.75821090, -40.92370605, -20.60800934, 99.97076416, 97.25957489, -2.88939786, 93.43828583, 0.43919367, -0.52646053, -0.53473467, -0.49397084, -0.00253414, 0.00267906, -0.06171206, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -0.04754888, -0.99324554, 0.18502346, -1.30712152, 3.39272690, -0.77683544, -40.89447403, -19.61414719, 100.20462036, 97.24476624, -2.88594151, 93.47296143, 0.43912899, -0.52622777, -0.53484410, -0.49415767, -0.00281792, 0.00232834, -0.05990004, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, -0.04785581, -0.99088532, 0.18557186, -1.48280263, 3.26593900, -0.70868528, -40.95293808, -20.16954041, 100.43846893, 97.22824097, -2.88297796, 93.50630188, 0.43907547, -0.52599674, -0.53493804, -0.49434960, -0.00245499, -0.00006997, -0.06071954, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, -0.04776964, -0.99000937, 0.18439725, -1.44663405, 3.16226888, -0.67610914, -40.92370605, -19.81876564, 100.08769226, 97.29525757, -2.87430120, 93.51415253, 0.43877622, -0.52618134, -0.53529841, -0.49402872, -0.00246608, -0.00093896, -0.05946993, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.00181153, -0.77896959, -0.62317353, 3.59865284, 5.26762199, 2.14640021, -43.81759644, -12.48173046, -103.62467194, 51.63380432, 1.84101474, 24.54545784, 0.88099194, -0.42241514, -0.10669072, -0.18448806, 0.03383662, -0.00453688, 0.00261575, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.00021230, -0.77945668, -0.62228656, 3.47398949, 5.14662790, 2.28507733, -43.81759644, -12.48173046, -103.62467194, 51.67026138, 1.85555196, 24.59992409, 0.88077974, -0.42261940, -0.10706165, -0.18481837, 0.03249740, -0.00444059, 0.00223598, 0.00000000, 0.00000000, 0.00000000, 0.00000000
