SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.08291465, -0.96113026, -0.35326031, 4.74692774, -38.82228470, -13.07398033, -28.23735809, -30.69277954, -86.64133453, 69.00220490, 5.52108097, 31.29771042, 0.80000550, -0.53408718, -0.19082959, -0.19577092, 0.01346733, 0.03189854, -0.00344516, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.07141443, -0.97837949, -0.35486361, 3.39093685, -38.85890579, -11.09076977, -27.33119011, -29.37737465, -86.52440643, 68.99764252, 5.48097610, 30.89374924, 0.80067259, -0.53481060, -0.18866281, -0.19315159, 0.02438628, 0.04909101, -0.00185069, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.05903947, -0.98916203, -0.35490304, 1.49971163, -38.62878799, -9.08116531, -28.17889404, -28.73428726, -86.64133453, 68.98261261, 5.41423225, 30.49890900, 0.80133897, -0.53549361, -0.18633541, -0.19073996, 0.03582737, 0.05987436, -0.00206272, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.04612834, -0.99371368, -0.35435450, -0.46353397, -37.97338104, -7.08133745, -28.17889404, -28.73428726, -86.64133453, 68.94245911, 5.33997965, 30.11814690, 0.80208510, -0.53598398, -0.18397833, -0.18850118, 0.04744207, 0.06448415, -0.00310446, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.03389334, -0.99007940, -0.35376203, -2.78313661, -37.40711594, -5.07998991, -28.14966393, -28.90967560, -87.02133942, 68.88076782, 5.24892807, 29.75020027, 0.80288899, -0.53632784, -0.18152893, -0.18646449, 0.05820435, 0.06105866, -0.00462075, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, -0.0000, 0, -0.06329447, -1.02041078, 0.08171032, 9.96867371, -16.33276939, -1.04532516, -50.74539566, -27.38965225, 87.92750549, 91.65408325, -3.23554707, 79.88831329, 0.52102321, -0.56229788, -0.44523072, -0.46273696, 0.00677037, 0.02232349, -0.05475010, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.05830416, -1.01245618, 0.07918705, 8.83120537, -15.72412777, -0.90504986, -50.74539566, -27.38965225, 87.92750549, 91.75124359, -3.22197914, 79.73113251, 0.52123624, -0.56329918, -0.44491544, -0.46158120, 0.00201553, 0.01441532, -0.05023658, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.05725485, -0.99965066, 0.07392588, 8.22408581, -15.13580704, -0.83783633, -50.27769470, -26.95118332, 85.15054321, 91.84195709, -3.20899367, 79.57986450, 0.52145231, -0.56425029, -0.44459820, -0.46047980, 0.00119195, 0.00165151, -0.04335397, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.02615360, -0.98933178, -0.36042625, -4.87150431, -36.53142166, -3.12781072, -28.29582024, -30.10815430, -86.81671906, 68.80022430, 5.14260292, 29.39784431, 0.80373639, -0.53653562, -0.17901579, -0.18463653, 0.06419894, 0.06062369, 0.00079139, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.01822529, -0.98363805, -0.36528343, -6.87011862, -36.11543655, -0.93966180, -28.12043190, -30.66354752, -86.81671906, 68.70140076, 5.01701593, 29.05776215, 0.80462754, -0.53662407, -0.17639731, -0.18301144, 0.07007680, 0.05533236, 0.00410365, 0.00000000, 0.00000000, 0.00000000, 0.00000000
