SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.06367227, -0.71640724, -0.68613851, 0.10959996, 0.19951378, -0.30742913, -42.03449249, -10.14323330, -105.26161957, 46.91654205, 4.19373083, -44.92177582, 0.84162825, -0.38045999, 0.12096726, 0.36370182, 0.00942751, -0.01199523, 0.00489980, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.06444647, -0.71743649, -0.68650472, 0.18092313, 0.23467031, -0.42962933, -42.06372452, -9.55860806, -104.82315063, 46.91827011, 4.19845152, -44.92304230, 0.84161103, -0.38048524, 0.12094183, 0.36372393, 0.00873187, -0.01098119, 0.00529066, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.06399411, -0.71438992, -0.68738574, 0.14542469, 0.16623527, -0.48283270, -41.85910416, -9.61707115, -104.96930695, 46.91958237, 4.20308638, -44.92517471, 0.84159249, -0.38050625, 0.12091858, 0.36375254, 0.00927143, -0.01403584, 0.00618967, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.06567989, -0.71417350, -0.68701613, 0.00261262, 0.30107832, -0.51429808, -42.09295654, -11.28325081, -104.85237885, 46.91951370, 4.20888805, -44.92655563, 0.84157896, -0.38052133, 0.12087978, 0.36378071, 0.00767502, -0.01425573, 0.00583346, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0000, 0, -0.05005204, -0.98622102, 0.20434880, 0.20591661, -0.12722844, 0.34934968, -39.19906235, -19.67260933, 102.13388062, 101.73484802, -3.10521197, -0.51921690, 0.63097423, -0.77531731, 0.02061315, -0.01815831, -0.00409567, 0.00836510, -0.00219383, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.04984587, -0.98547798, 0.20381294, 0.22506654, -0.30079174, 0.39806157, -38.76059723, -19.52645493, 103.88774872, 101.73732758, -3.10850310, -0.52297246, 0.63095766, -0.77532953, 0.02065628, -0.01816035, -0.00435621, 0.00763374, -0.00161812, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.04977822, -0.98637742, 0.20471451, 0.24323432, -0.33437604, 0.37989381, -38.90675354, -19.70184135, 101.19847870, 101.74268341, -3.10198855, -0.52899110, 0.63092309, -0.77535939, 0.02066030, -0.01808409, -0.00443590, 0.00854463, -0.00246471, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -0.04973769, -0.98691291, 0.20409815, 0.08251109, -0.41230378, 0.30803236, -38.90675354, -19.70184135, 101.19847870, 101.74375916, -3.10417199, -0.53366059, 0.63091630, -0.77536404, 0.02070374, -0.01807335, -0.00439610, 0.00909055, -0.00177951, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.06557842, -0.71295184, -0.68777722, 0.14538324, 0.21752429, -0.55179906, -41.53756332, -9.70476437, -104.58930206, 46.90472412, 4.19814539, -44.92855835, 0.84163892, -0.38037902, 0.12091942, 0.36377779, 0.00780190, -0.01543254, 0.00654918, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.06573699, -0.71376449, -0.68899840, 0.41271400, 0.22030513, -0.48418459, -41.53756332, -9.70476437, -104.58930206, 46.90873337, 4.20316601, -44.93031311, 0.84161204, -0.38042140, 0.12090061, 0.36380196, 0.00752371, -0.01452051, 0.00765136, 0.00000000, 0.00000000, 0.00000000, 0.00000000
