SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, -0.05533264, -0.96866202, 0.06067613, 25.14091492, -31.04078484, -2.09192991, -39.92984390, -24.52499199, 97.19380188, 86.05228424, -3.93636012, 19.33610153, 0.71629912, -0.67646050, -0.08977230, -0.14580010, -0.01330863, -0.02654341, -0.13204123, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.06428696, -0.96478659, 0.07094559, 25.78332329, -30.07724953, -2.07675123, -40.16369629, -23.56036186, 101.34463501, 86.33084106, -3.93589783, 19.03390121, 0.71503466, -0.67843467, -0.08834051, -0.14369355, -0.00435518, -0.03075648, -0.13750887, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.07360989, -0.96798855, 0.08184259, 26.21291733, -29.23009682, -1.78413022, -39.92984390, -21.83572006, 98.36305237, 86.63121796, -3.93812752, 18.74570084, 0.71360970, -0.68052948, -0.08699158, -0.14168029, 0.00496515, -0.02787905, -0.14344843, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -0.09092404, -0.97871417, 0.09807473, 26.65584564, -28.29061890, -1.08943379, -39.52060699, -23.38497543, 98.53843689, 86.91725922, -3.94343758, 18.46196938, 0.71225059, -0.68252718, -0.08562193, -0.13973083, 0.02219768, -0.01746593, -0.15449896, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, -0.0000, 0, 0.02809464, -0.78921896, -0.64888108, 16.05285835, 6.69630241, -23.77119446, -44.66530228, -11.54633141, -102.89389038, 55.15361786, 1.21543634, -40.56479263, 0.82968211, -0.43746760, 0.15164839, 0.31185359, -0.00838277, -0.03074946, 0.07681338, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, -0.11795291, -1.00337267, 0.11021651, 26.24760437, -27.02668190, -0.34869665, -39.63753128, -21.98187637, 102.30926514, 87.19839478, -3.95408320, 18.19124222, 0.71088922, -0.68448210, -0.08428087, -0.13790405, 0.04907452, 0.00692901, -0.16172907, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.03417051, -0.78578544, -0.65414232, 11.27419853, 6.94688129, -22.22567368, -44.54837799, -11.78018093, -103.88774872, 55.24983215, 1.43930495, -40.64162445, 0.82877195, -0.43865335, 0.15057716, 0.31312451, -0.01052520, -0.03536436, 0.08392087, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, -0.14628232, -1.03042364, 0.12103376, 24.73741531, -24.95504570, 0.24010164, -39.63753128, -21.98187637, 102.30926514, 87.46300507, -3.96833992, 17.94149399, 0.70958871, -0.68631572, -0.08301431, -0.13624725, 0.07717546, 0.03375706, -0.16784483, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.04318340, -0.78561574, -0.66114187, 7.19040442, 7.34116364, -20.56142235, -44.34375763, -11.92633724, -103.56620789, 55.32068253, 1.64936042, -40.70053101, 0.82802308, -0.43964189, 0.14947039, 0.31424740, -0.01575786, -0.03618836, 0.09203318, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.04852393, -0.78667206, -0.66869932, 3.90831995, 7.91424227, -18.70895576, -43.96375275, -14.35252857, -103.24466705, 55.35892105, 1.84771860, -40.74391556, 0.82745552, -0.44038358, 0.14830066, 0.31525651, -0.01756378, -0.03554673, 0.10037127, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.05987385, -0.78725672, -0.67539054, 0.92947322, 8.38853550, -16.91304207, -43.96375275, -14.35252857, -103.24466705, 55.36766815, 2.03423619, -40.77301788, 0.82705557, -0.44089907, 0.14708123, 0.31615552, -0.02558221, -0.03505901, 0.10739399, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.07074337, -0.78524387, -0.68406177, -1.42456865, 8.32433414, -15.11389160, -43.81759644, -11.78018093, -103.24466705, 55.35309601, 2.20573616, -40.79230881, 0.82679313, -0.44121891, 0.14586870, 0.31695640, -0.03335422, -0.03692332, 0.11604555, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.07858790, -0.78023380, -0.68757832, -3.86689281, 7.81635857, -13.44355774, -43.64220810, -11.31248188, -103.44927979, 55.28197861, 2.37235522, -40.81458664, 0.82674587, -0.44111380, 0.14454594, 0.31783077, -0.03832745, -0.04147480, 0.11909513, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.08608305, -0.76916069, -0.68806636, -6.41463041, 6.50683498, -12.03003025, -43.49605179, -11.25401878, -103.39082336, 55.21743774, 2.50824642, -40.83124161, 0.82673544, -0.44098261, 0.14344224, 0.31853947, -0.04317898, -0.05167085, 0.11851004, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.08801991, -0.75274825, -0.68465185, -8.71172428, 4.77530098, -11.16672993, -43.40835953, -11.60479355, -103.09851074, 55.12943649, 2.62709999, -40.85723495, 0.82681465, -0.44062588, 0.14243230, 0.31927958, -0.04293880, -0.06720835, 0.11400455, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.08785385, -0.72983307, -0.68117064, -10.52703094, 2.82798171, -10.50307751, -43.40835953, -11.60479355, -103.09851074, 55.02264404, 2.72922277, -40.89546967, 0.82695729, -0.44007471, 0.14153765, 0.32006732, -0.04088479, -0.08905283, 0.10913983, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.08667883, -0.71143323, -0.67632520, -11.53963375, 0.80581522, -10.49326038, -43.78836441, -13.06635475, -103.12773895, 54.90485764, 2.81942677, -40.95029831, 0.82711315, -0.43939295, 0.14076146, 0.32094249, -0.03806341, -0.10624816, 0.10271101, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, -0.16772889, -1.05638146, 0.12163344, 22.43045616, -22.21146584, 0.23739779, -40.10523224, -22.21572685, 102.74773407, 87.70271301, -3.98028851, 17.71914864, 0.70840049, -0.68796796, -0.08188979, -0.13476993, 0.09839018, 0.05953978, -0.16412295, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0700, 7, -0.17310588, -1.08307767, 0.12199989, 19.81480789, -18.77070808, 0.35454684, -39.46214676, -21.83572006, 100.17538452, 87.93733215, -4.00515127, 17.54973602, 0.70716035, -0.68955624, -0.08099117, -0.13370456, 0.10351621, 0.08609587, -0.16054833, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0800, 8, -0.16420095, -1.09179866, 0.12140739, 16.86419296, -15.44414043, 0.57581800, -39.66676331, -21.71879578, 99.18152618, 88.11678314, -4.01637220, 17.39521217, 0.70624638, -0.69078004, -0.08019917, -0.13269222, 0.09423324, 0.09471322, -0.15632901, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0900, 9, -0.14910860, -1.09712029, 0.12155747, 14.50099850, -12.53434277, 0.75075281, -39.78368759, -21.71879578, 99.79537964, 88.27058411, -4.02794504, 17.26986885, 0.70545012, -0.69182318, -0.07954853, -0.13188198, 0.07894582, 0.09995600, -0.15364918, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1000, 10, -0.11753567, -1.10390449, 0.12606660, 12.19549847, -10.18022823, 1.08854330, -39.78368759, -21.71879578, 99.79537964, 88.39968872, -4.04187727, 17.16818619, 0.70477128, -0.69269806, -0.07899585, -0.13125023, 0.04714915, 0.10667950, -0.15575413, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1100, 11, -0.07811108, -1.11022222, 0.13433720, 9.59855080, -8.77083015, 1.63579404, -39.63753128, -21.30955887, 98.65536499, 88.50185394, -4.06067657, 17.08074760, 0.70423222, -0.69339973, -0.07846705, -0.13075495, 0.00743372, 0.11295581, -0.16207838, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1200, 12, -0.04113638, -1.11033988, 0.14800358, 6.38466167, -7.92934942, 2.83690333, -40.01753998, -22.97573853, 101.16925049, 88.61777496, -4.07760954, 16.99911499, 0.70360434, -0.69417959, -0.07799974, -0.13027576, -0.02992852, 0.11304579, -0.17410636, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1300, 13, -0.01021719, -1.09634149, 0.15088217, 2.63014078, -7.70505476, 4.06384277, -39.31599045, -21.89418221, 101.87079620, 88.64951324, -4.12013721, 16.92290115, 0.70345098, -0.69445604, -0.07731017, -0.13004121, -0.06133734, 0.09904481, -0.17554730, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.08385018, -0.68926466, -0.67178231, -12.01728725, -1.22692561, -10.73249054, -43.08681488, -11.66325665, -103.62467194, 54.73572540, 2.91107464, -41.03684235, 0.82737255, -0.43830585, 0.13995028, 0.32211298, -0.03372907, -0.12701634, 0.09630668, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1400, 14, 0.02287079, -1.05573630, 0.13901977, -1.90520287, -8.67073536, 5.23715162, -39.66676331, -21.89418221, 99.73691559, 88.63663483, -4.17461777, 16.83728218, 0.70356518, -0.69447243, -0.07643870, -0.12985078, -0.09529188, 0.05851237, -0.16361371, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1500, 15, 0.04307748, -1.01277018, 0.13021338, -3.78474951, -10.47692108, 6.53544664, -39.66676331, -21.89418221, 99.73691559, 88.60637665, -4.24257088, 16.73390198, 0.70378977, -0.69440192, -0.07535622, -0.12964325, -0.11659207, 0.01564481, -0.15520090, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1600, 16, 0.04695834, -0.98151118, 0.11978678, -3.90415382, -13.52320099, 7.93863392, -39.63753128, -22.04033852, 101.34463501, 88.57730865, -4.32538176, 16.60037041, 0.70402461, -0.69436669, -0.07400006, -0.12933813, -0.12181382, -0.01549131, -0.14528574, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.08085993, -0.67926699, -0.67616618, -11.40720081, -3.52055717, -10.89794350, -43.58374786, -11.37094402, -103.56620789, 54.61716080, 2.97887850, -41.12958908, 0.82745647, -0.43751448, 0.13947639, 0.32317683, -0.02931995, -0.13539432, 0.09852441, 0.00000000, 0.00000000, 0.00000000, 0.00000000
