SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.07098390, -0.74956113, -0.66521525, 3.29958415, 2.62079954, 2.97765875, -43.43759155, -10.49400711, -104.03390503, 47.89419937, 4.98903131, 25.94310188, 0.89372051, -0.38623166, -0.12978548, -0.18773562, 0.01600622, 0.01061769, -0.00291303, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, -0.0000, 0, -0.05055259, -1.00666904, 0.19909076, -4.87822104, 1.58242309, 0.37224048, -39.14060211, -20.78339577, 101.54925537, 100.77314758, -2.64634728, 91.29167938, 0.43290567, -0.54893893, -0.54039484, -0.46822244, 0.00442309, 0.02521556, -0.01298290, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.05760889, -1.00530982, 0.19578853, -5.20136595, 2.14726186, 0.28071040, -39.60830307, -22.12803268, 101.28617096, 100.72018433, -2.65309238, 91.31227112, 0.43304214, -0.54866785, -0.54025000, -0.46858102, 0.01137144, 0.02369620, -0.01056482, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.07863413, -0.75120807, -0.66514230, 2.67567015, 2.61380339, 3.03516078, -43.26220322, -9.90938282, -104.58930206, 47.94078064, 4.98091793, 25.96840858, 0.89351821, -0.38658202, -0.12988447, -0.18790880, 0.00826535, 0.01182875, -0.00251541, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.08645225, -0.75063485, -0.66485208, 1.85616529, 2.31490135, 3.10691190, -43.84682846, -10.08477020, -104.64776611, 47.96258163, 4.97372389, 26.00664711, 0.89337862, -0.38672256, -0.12999366, -0.18820763, 0.00030160, 0.01081738, -0.00233892, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.05382059, -1.00462687, 0.19089797, -5.26538754, 3.18232036, 0.24911815, -39.11137009, -20.75416565, 99.59075928, 100.66638184, -2.66235256, 91.34339905, 0.43312693, -0.54835355, -0.54014182, -0.46899486, 0.00744737, 0.02284927, -0.00659837, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.09857561, -0.74722654, -0.66317672, 1.41146886, 1.71321213, 3.24029255, -43.84682846, -10.08477020, -104.64776611, 47.97961426, 4.96146584, 26.04135895, 0.89325833, -0.38683981, -0.13004412, -0.18850216, -0.01200399, 0.00717814, -0.00378186, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -0.04287219, -1.01422977, 0.19137709, -5.46863174, 3.75467968, 0.59220546, -39.37445068, -21.33878899, 99.12306213, 100.61003876, -2.67506695, 91.37926483, 0.43318740, -0.54802084, -0.54003179, -0.46945447, -0.00370489, 0.03228397, -0.00802829, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.10871473, -0.74518973, -0.66217828, 1.07430100, 0.89186180, 3.07238293, -43.46682358, -10.28938866, -103.77082825, 47.99264908, 4.94487572, 26.06885529, 0.89316142, -0.38694245, -0.13003023, -0.18876028, -0.02240119, 0.00496086, -0.00461340, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, -0.03421806, -1.02105546, 0.19336745, -6.21640491, 3.89302564, 1.19101262, -39.37445068, -21.33878899, 99.12306213, 100.54618073, -2.69388223, 91.41539764, 0.43325254, -0.54768223, -0.53986746, -0.46997845, -0.01264709, 0.03892717, -0.01106423, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.11821623, -0.74860138, -0.66564333, 0.93324065, -0.04723598, 3.16268778, -43.93452072, -10.14323330, -104.03390503, 48.00372696, 4.92125797, 26.09001732, 0.89307809, -0.38705075, -0.12993751, -0.18899608, -0.03225747, 0.00820996, -0.00101368, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, -0.03256204, -1.02680969, 0.19905695, -7.50794888, 3.85136795, 1.61534929, -39.81291962, -20.95878410, 98.71382904, 100.46944427, -2.71675324, 91.45038605, 0.43336362, -0.54731601, -0.53962797, -0.47057712, -0.01468295, 0.04446543, -0.01799000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.12015257, -0.74947894, -0.66988158, 0.47216481, -1.77558661, 4.01057959, -43.61297989, -10.02630806, -103.59543610, 48.02224731, 4.90755558, 26.09217644, 0.89300561, -0.38721931, -0.12986952, -0.18904033, -0.03466959, 0.00892694, 0.00334167, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, -0.03139250, -1.02827704, 0.20002118, -8.86320019, 3.42047358, 1.71911907, -39.92984390, -23.32651329, 100.58462524, 100.37935638, -2.73982215, 91.48096466, 0.43355522, -0.54692096, -0.53931123, -0.47122267, -0.01625309, 0.04568049, -0.02042296, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0700, 7, -0.03752870, -1.02238476, 0.19575574, -9.84840679, 3.08583140, 1.77043319, -39.81291962, -20.57877731, 101.81233215, 100.28153229, -2.76058340, 91.50770569, 0.43381029, -0.54650569, -0.53895289, -0.47187909, -0.01050929, 0.03951073, -0.01779556, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0800, 8, -0.04648193, -1.00964355, 0.18991756, -10.53468227, 2.79006147, 1.90782678, -39.72522736, -21.42648315, 97.48611450, 100.17501831, -2.78427911, 91.53181458, 0.43410289, -0.54608124, -0.53853363, -0.47257960, -0.00193884, 0.02647275, -0.01371743, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.10930707, -0.75148129, -0.67185754, -0.20138238, -4.42706776, 5.07182741, -43.05758667, -10.28938866, -104.15083313, 48.02025986, 4.84026575, 26.09391403, 0.89297771, -0.38733274, -0.12935232, -0.18929380, -0.02445212, 0.01076350, 0.00542174, 0.00000000, 0.00000000, 0.00000000, 0.00000000
