SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.10686368, -0.72413379, -0.67725176, -1.01311195, -0.51771438, 0.26611045, -42.26834106, -11.34171295, -103.71236420, 46.01159668, 5.37930059, -51.86072922, 0.81886721, -0.36997893, 0.13186538, 0.41854966, -0.01308010, 0.00777215, -0.01414572, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0000, 0, -0.05401659, -0.98622984, 0.19481120, 0.13693455, 0.23409519, -0.06038892, -38.70213318, -21.92341423, 104.91084290, 100.93402863, -3.04153919, 2.55721068, 0.63568318, -0.77117139, -0.00031514, -0.03466193, 0.00096142, 0.00558273, -0.00632746, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.10645865, -0.72314227, -0.67560363, -1.49427402, -0.55689329, 0.18223651, -41.68371964, -10.40631390, -103.91698456, 45.99639130, 5.37412119, -51.86345673, 0.81891578, -0.36984971, 0.13185641, 0.41857165, -0.01276441, 0.00693892, -0.01596993, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.05184091, -0.98780423, 0.19556965, 0.11925781, 0.19768992, -0.00878134, -38.23443222, -21.36802101, 101.08155060, 100.93511200, -3.04182410, 2.55917048, 0.63567519, -0.77117741, -0.00032707, -0.03467472, -0.00121750, 0.00716111, -0.00706515, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.05100835, -0.98877341, 0.19577652, 0.10295141, 0.07656164, -0.01105881, -38.67290115, -20.72493362, 102.39695740, 100.93611908, -3.04186225, 2.55994654, 0.63566822, -0.77118295, -0.00033239, -0.03467928, -0.00205251, 0.00813396, -0.00725327, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.10708546, -0.72088063, -0.67681944, -1.86845541, -0.64622420, 0.18390229, -42.44372940, -10.46477604, -104.00467682, 45.97739792, 5.36830187, -51.86680984, 0.81897545, -0.36969051, 0.13184023, 0.41860056, -0.01348533, 0.00488652, -0.01498367, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -0.05212134, -0.98693854, 0.19472665, 0.03370351, -0.04578286, -0.01305669, -38.73136520, -20.40339088, 102.10464478, 100.98379517, -3.03652549, 2.56029773, 0.63534880, -0.77144772, -0.00037881, -0.03464519, -0.00091792, 0.00634056, -0.00598650, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.10591606, -0.72045231, -0.67779720, -1.86842573, -0.69755447, 0.27032304, -42.44372940, -10.46477604, -104.00467682, 45.99428940, 5.38204861, -51.85987473, 0.81892115, -0.36986548, 0.13177940, 0.41857141, -0.01234147, 0.00457531, -0.01413044, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.10542776, -0.71659219, -0.67751783, -1.88640261, -0.62970841, 0.32396683, -42.56065369, -10.55247021, -104.53083801, 45.97521210, 5.37535524, -51.86212540, 0.81898671, -0.36970401, 0.13176575, 0.41859007, -0.01171014, 0.00062954, -0.01430196, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, -0.05283349, -0.98574930, 0.19421938, -0.03523970, -0.13112244, -0.10136350, -38.52674484, -19.84799767, 100.46769714, 100.98349762, -3.03528118, 2.55920053, 0.63535148, -0.77144617, -0.00037824, -0.03463074, -0.00012126, 0.00526394, -0.00487489, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, -0.05319690, -0.98568326, 0.19376026, 0.07113435, -0.19867933, -0.06848281, -38.52674484, -19.84799767, 100.46769714, 100.98432159, -3.03423500, 2.55737448, 0.63534683, -0.77145076, -0.00037201, -0.03461358, 0.00026152, 0.00519850, -0.00441015, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.10719015, -0.71436083, -0.67815179, -1.79731250, -0.59456140, 0.28889126, -42.06372452, -10.93247604, -104.09236908, 45.95702362, 5.36915445, -51.86436844, 0.81904846, -0.36955053, 0.13175170, 0.41860899, -0.01357671, -0.00138158, -0.01390979, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.10703740, -0.71453673, -0.67922020, -1.70854938, -0.38912335, 0.30901411, -42.26834106, -10.08477020, -103.42005157, 45.93986511, 5.36424685, -51.86499023, 0.81911057, -0.36941072, 0.13172683, 0.41861904, -0.01352160, -0.00100128, -0.01306601, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, -0.05073475, -0.98662025, 0.19632716, 0.21393904, -0.26563668, 0.09461220, -38.55597687, -19.87722778, 103.62467194, 100.98661804, -3.03466082, 2.55458355, 0.63533211, -0.77146345, -0.00035155, -0.03460095, -0.00219521, 0.00613918, -0.00694479, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.10721689, -0.71387029, -0.67870015, -1.65517354, -0.33745107, 0.32687855, -42.58988571, -10.28938866, -103.01081085, 45.92328644, 5.35958099, -51.86511612, 0.81917202, -0.36927634, 0.13170068, 0.41862547, -0.01378202, -0.00147192, -0.01379919, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0700, 7, -0.05030227, -0.98694092, 0.19583917, 0.18676899, -0.39117929, 0.07776002, -38.32212830, -20.22800255, 100.81847382, 100.98869324, -3.03468442, 2.55058765, 0.63531929, -0.77147496, -0.00032514, -0.03457895, -0.00263236, 0.00646768, -0.00642068, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.10850039, -0.71331030, -0.67988676, -1.40569139, -0.33494896, 0.42954844, -42.58988571, -10.28938866, -103.01081085, 45.94534683, 5.39101982, -51.87361145, 0.81901240, -0.36953005, 0.13157950, 0.41875178, -0.01499818, -0.00195561, -0.01268232, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0800, 8, -0.05143603, -0.98846596, 0.19538113, 0.20548701, -0.42275336, -0.00999674, -38.29289627, -21.30955887, 98.50920868, 101.00603485, -3.03235674, 2.54669237, 0.63520449, -0.77157128, -0.00031707, -0.03454166, -0.00148650, 0.00801116, -0.00586737, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0900, 9, -0.05189346, -0.99004167, 0.19946635, 0.15183848, -0.28298554, -0.11139133, -38.40982056, -20.72493362, 101.14001465, 101.00769806, -3.03072619, 2.54412627, 0.63519454, -0.77158058, -0.00030934, -0.03451646, -0.00098622, 0.00962607, -0.00972080, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.11018582, -0.71309042, -0.68003577, -1.19167936, -0.34934580, 0.30532295, -42.99912262, -9.64630222, -103.42005157, 45.93338776, 5.38641214, -51.87396622, 0.81905806, -0.36942866, 0.13157053, 0.41875473, -0.01628364, -0.00231934, -0.01233071, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1000, 10, -0.05375045, -0.98660785, 0.19718379, 0.09703559, -0.12948939, -0.09066648, -38.40982056, -20.72493362, 101.14001465, 101.00871277, -3.02958798, 2.54302549, 0.63518834, -0.77158618, -0.00030855, -0.03450270, 0.00089550, 0.00619705, -0.00741533, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.10929993, -0.71360940, -0.68022126, -0.95927435, -0.68729275, 0.15810859, -42.82373428, -10.49400711, -103.15696716, 45.92342377, 5.38047457, -51.87777710, 0.81908715, -0.36933312, 0.13158970, 0.41877621, -0.01549016, -0.00168028, -0.01228172, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1100, 11, -0.05462198, -0.98500139, 0.19704650, 0.21996155, -0.11091281, -0.03878844, -38.49751663, -20.57877731, 100.29231262, 101.01096344, -3.02899623, 2.54201078, 0.63517368, -0.77159882, -0.00030568, -0.03449309, 0.00178183, 0.00459467, -0.00725130, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1200, 12, -0.05467830, -0.98517627, 0.19661714, 0.41159043, 0.11774646, -0.03541086, -38.38058853, -20.54954720, 101.98772430, 101.01500702, -3.02886915, 2.54323411, 0.63514608, -0.77162117, -0.00031585, -0.03449900, 0.00184231, 0.00478170, -0.00676084, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.10775825, -0.71671736, -0.68032032, -0.99438161, -0.90864807, -0.08964391, -42.50219345, -10.49400711, -103.50774384, 45.91281128, 5.37474012, -51.88492584, 0.81910574, -0.36922973, 0.13161573, 0.41882294, -0.01405495, 0.00154369, -0.01231690, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1300, 13, -0.05287442, -0.98687714, 0.19898467, 0.37758285, 0.01396144, -0.05465371, -38.70213318, -23.06343079, 101.49079132, 101.04505920, -3.01906967, 2.54301786, 0.63494664, -0.77178824, -0.00037781, -0.03443178, 0.00008505, 0.00651342, -0.00894759, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.11033124, -0.71622080, -0.68043679, -1.04799354, -0.72112250, -0.36535266, -42.79450226, -10.37708282, -103.80005646, 45.90161896, 5.37227821, -51.89265823, 0.81911802, -0.36913255, 0.13161768, 0.41888398, -0.01668722, 0.00118007, -0.01234572, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1400, 14, -0.05033107, -0.98599869, 0.19901967, 0.37955222, -0.17624828, -0.04098180, -38.14673996, -21.33878899, 103.04004669, 101.04891968, -3.01832962, 2.54136729, 0.63492131, -0.77180970, -0.00037196, -0.03441764, -0.00232651, 0.00570608, -0.00858062, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 0.11388102, -0.71499634, -0.67969608, -0.99410570, -0.77050513, -0.85536367, -42.64834976, -10.17246437, -103.56620789, 45.91912842, 5.40845108, -51.91881180, 0.81889981, -0.36934954, 0.13150239, 0.41915536, -0.02009338, 0.00001654, -0.01312988, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1500, 15, -0.05139147, -0.98647386, 0.19939946, 0.32899269, -0.36616677, -0.07922202, -38.14673996, -21.33878899, 103.04004669, 101.05240631, -3.01685095, 2.53791690, 0.63489938, -0.77182907, -0.00035797, -0.03438856, -0.00124556, 0.00619206, -0.00889774, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.11691991, -0.71531701, -0.68017894, -0.92169607, -1.21156240, -1.38695192, -42.64834976, -10.17246437, -103.56620789, 45.90821075, 5.40980482, -51.93727875, 0.81886494, -0.36925486, 0.13151208, 0.41930375, -0.02265331, 0.00023952, -0.01248114, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, 0.11752374, -0.71406251, -0.68093860, -1.08073258, -1.79133928, -1.98871660, -42.15141678, -10.17246437, -103.65390015, 45.89491653, 5.41134834, -51.96412659, 0.81880671, -0.36913425, 0.13153866, 0.41951531, -0.02323147, -0.00086783, -0.01186988, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1600, 16, -0.05457172, -0.98703283, 0.19823644, 0.34291336, -0.47239739, -0.08790858, -38.73136520, -19.90645981, 101.63694763, 101.05604553, -3.01508689, 2.53344703, 0.63487673, -0.77184939, -0.00033874, -0.03435192, 0.00196440, 0.00676318, -0.00767055, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, 0.11711828, -0.71317941, -0.68127364, -1.00786269, -2.35078120, -2.90628433, -42.29757309, -10.43554497, -103.15696716, 45.88138580, 5.41547632, -52.00147247, 0.81870598, -0.36900866, 0.13157934, 0.41980964, -0.02277370, -0.00157590, -0.01170824, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1700, 17, -0.05620608, -0.98788255, 0.19878858, 0.23105942, -0.39226142, -0.07482024, -38.23443222, -19.99415398, 102.48464966, 101.05855560, -3.01360464, 2.52973294, 0.63486135, -0.77186340, -0.00032270, -0.03432136, 0.00362658, 0.00762049, -0.00817440, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, 0.11580823, -0.71026051, -0.68169892, -0.84533787, -3.02737856, -4.31528997, -42.12218475, -9.88015175, -103.65390015, 45.86812973, 5.42483425, -52.05359268, 0.81854045, -0.36888570, 0.13163039, 0.42022419, -0.02133585, -0.00432406, -0.01144162, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1800, 18, -0.05707946, -0.98833805, 0.19825663, 0.15959661, -0.28940141, -0.10721002, -38.46828461, -19.70184135, 104.32621765, 101.08641815, -3.02117968, 2.52928376, 0.63467157, -0.77201736, -0.00028601, -0.03436978, 0.00448804, 0.00810568, -0.00749660, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, 0.11538256, -0.71072268, -0.68105972, -0.64692217, -3.85703874, -5.69223404, -42.61911774, -10.72785759, -103.68313599, 45.86199951, 5.44667578, -52.12502289, 0.81825805, -0.36883369, 0.13167873, 0.42080438, -0.02067260, -0.00371422, -0.01220070, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1900, 19, -0.05611003, -0.98834211, 0.19899611, 0.15798074, -0.16968374, -0.07004484, -38.49751663, -19.38029861, 102.57234955, 101.08806610, -3.02016544, 2.52775025, 0.63466120, -0.77202648, -0.00028180, -0.03435446, 0.00342153, 0.00818539, -0.00787313, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, 0.11419676, -0.71210033, -0.68039280, -0.32416368, -4.44682598, -7.03132677, -42.61911774, -10.72785759, -103.68313599, 45.85120010, 5.46529913, -52.20647049, 0.81795925, -0.36872593, 0.13176551, 0.42145193, -0.01908263, -0.00222857, -0.01292348, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 20, 0.11516285, -0.71427846, -0.68173665, -0.30454361, -4.98891068, -8.33216476, -42.70681000, -9.73399544, -103.30312347, 45.83933640, 5.48932505, -52.30100250, 0.81760526, -0.36861402, 0.13185111, 0.42220941, -0.01966227, 0.00011578, -0.01169780, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 21, 0.11563940, -0.71238667, -0.68231249, -0.23137136, -5.61585903, -9.53013325, -42.85296631, -9.67553329, -103.85852051, 45.82695389, 5.51741409, -52.40849304, 0.81719685, -0.36849731, 0.13194674, 0.42307121, -0.01968221, -0.00159691, -0.01124330, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 22, 0.11607183, -0.71272510, -0.68151903, -0.17622183, -6.20941448, -10.51793861, -42.76527405, -9.99707699, -103.82929230, 45.81401825, 5.54831123, -52.52722549, 0.81674242, -0.36837342, 0.13205592, 0.42402127, -0.01959147, -0.00107229, -0.01215585, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2000, 20, -0.05443233, -0.98640949, 0.19912973, 0.10501485, -0.11715157, -0.13833830, -38.49751663, -19.38029861, 102.57234955, 101.08916473, -3.01858401, 2.52686524, 0.63465458, -0.77203268, -0.00028493, -0.03433891, 0.00176761, 0.00625566, -0.00798282, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2300, 23, 0.11763749, -0.71290159, -0.68160784, -0.26406512, -6.61733341, -11.39672375, -42.32680511, -9.99707699, -104.00467682, 45.80366135, 5.58814621, -52.65727997, 0.81622016, -0.36828554, 0.13214594, 0.42507419, -0.02055670, -0.00069888, -0.01218580, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2100, 21, -0.05422213, -0.98584253, 0.19825637, 0.06955338, -0.15446483, -0.06924020, -38.26366425, -19.81876564, 99.21075439, 101.08995819, -3.01761055, 2.52547669, 0.63464987, -0.77203709, -0.00028121, -0.03432466, 0.00157714, 0.00569102, -0.00709517, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2400, 24, 0.12032927, -0.71185797, -0.68157065, -0.49428493, -7.26606226, -11.99903584, -42.32680511, -9.99707699, -104.00467682, 45.78566360, 5.62205696, -52.79406738, 0.81570685, -0.36811540, 0.13227215, 0.42616606, -0.02258758, -0.00153041, -0.01234835, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2500, 25, 0.12120659, -0.71021026, -0.68184114, -0.49308783, -7.75902939, -12.53088665, -43.02835464, -10.08477020, -103.36158752, 45.76689529, 5.65621090, -52.93815231, 0.81516695, -0.36793241, 0.13241686, 0.42731071, -0.02286865, -0.00290859, -0.01227060, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 26, 0.12151291, -0.71026146, -0.68312198, -0.27823901, -8.23338032, -12.73258686, -42.82373428, -9.79245853, -103.82929230, 45.74971008, 5.68840647, -53.08705521, 0.81460589, -0.36774856, 0.13259691, 0.42848134, -0.02260225, -0.00260244, -0.01117027, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2700, 27, 0.11925361, -0.71161568, -0.68196893, -0.09950156, -8.52116299, -12.72142029, -43.05758667, -10.14323330, -103.68313599, 45.73404312, 5.71844292, -53.23794556, 0.81403494, -0.36756593, 0.13280441, 0.42965743, -0.01980808, -0.00101213, -0.01248917, 0.00000000, 0.00000000, 0.00000000, 0.00000000
