SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0000, 0, -0.03804520, -0.98685902, 0.20143124, -0.02141403, 0.02596548, -0.11359728, -38.70213318, -19.38029861, 101.31540680, 101.49761963, -2.10774112, 41.00311279, 0.58755827, -0.72928536, -0.26026684, -0.23490296, 0.00126354, 0.00740167, -0.00315513, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, -0.0000, 0, 0.04077820, -0.73051512, -0.67213863, -0.64258152, 0.73635310, 0.25056711, -44.13914108, -9.82168961, -104.26775360, 48.46242142, 2.46606755, 10.90576458, 0.90839928, -0.40660316, -0.05852613, -0.07784307, 0.00222847, -0.01734047, 0.00967173, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.04079751, -0.73316067, -0.67232555, -0.51766521, 0.66964412, 0.21349648, -43.32066727, -11.10786343, -104.09236908, 48.45751572, 2.46898890, 10.91216469, 0.90841281, -0.40655854, -0.05856862, -0.07788586, 0.00225965, -0.01462784, 0.00978623, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.04235423, -0.73206365, -0.67177188, -0.73202848, 0.88853848, 0.34112471, -44.10990906, -12.21864891, -104.41390991, 48.43840408, 2.47347045, 10.92034435, 0.90847576, -0.40639907, -0.05862009, -0.07794442, 0.00076633, -0.01561670, 0.00911456, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.03678671, -0.98718375, 0.20003685, 0.06780646, -0.00425962, -0.02318102, -38.73136520, -19.96492195, 101.78310394, 101.49828339, -2.10750699, 41.00310135, 0.58755463, -0.72928840, -0.26026937, -0.23489994, 0.00001524, 0.00772886, -0.00175353, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.04190700, -0.73374456, -0.67085999, -0.58905286, 0.68569434, 0.30163875, -43.72990417, -10.11400127, -103.91698456, 48.43281174, 2.47585440, 10.92744160, 0.90849113, -0.40634912, -0.05866032, -0.07799502, 0.00127714, -0.01376027, 0.00800890, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.03764869, -0.98640281, 0.20010115, 0.05748315, -0.10692486, -0.00622922, -38.99444580, -21.51417732, 101.28617096, 101.49890137, -2.10723042, 41.00206375, 0.58755350, -0.72929335, -0.26026544, -0.23489146, 0.00088118, 0.00695018, -0.00180486, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.04193889, -0.73392576, -0.67104322, -0.96346235, 0.71557111, 0.34019807, -43.72990417, -10.11400127, -103.91698456, 48.42350388, 2.47815537, 10.93502140, 0.90851945, -0.40626955, -0.05869907, -0.07805166, 0.00128597, -0.01348537, 0.00808908, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -0.03696863, -0.98737544, 0.20039800, 0.07570492, -0.15825775, -0.00733841, -39.05290985, -19.17568016, 102.10464478, 101.50627136, -2.11556172, 41.00217819, 0.58748591, -0.72934604, -0.26023790, -0.23492782, 0.00016702, 0.00793167, -0.00206384, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.04351213, -0.73522097, -0.67217100, -0.87444669, 0.69901758, 0.54863155, -43.58374786, -9.88015175, -103.94621277, 48.41513062, 2.47880316, 10.94388485, 0.90854323, -0.40619808, -0.05872992, -0.07812390, -0.00026821, -0.01209047, 0.00910565, 0.00000000, 0.00000000, 0.00000000, 0.00000000
