SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, -0.06143187, -0.98422831, 0.21776797, 0.46705320, -0.11409480, -0.03210780, -38.76059723, -19.58491707, 101.84156799, 102.51024628, -3.15414810, 55.95986938, 0.54241914, -0.69659483, -0.35056868, -0.31247202, 0.00640891, 0.00924077, -0.00242464, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0000, 0, 0.00982446, -0.69569331, -0.70924264, 0.52047211, -0.44716811, -0.82019550, -45.10377121, -7.51242304, -105.61239624, 45.12720490, 1.51915264, 12.74726486, 0.91823053, -0.37994447, -0.05475865, -0.09744981, 0.01726619, -0.01271111, 0.00395603, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.06353649, -0.98639375, 0.21841913, 0.34300238, -0.08294317, -0.01338092, -38.87752151, -20.05261612, 103.47851563, 102.51371765, -3.15383863, 55.95909119, 0.54240119, -0.69661289, -0.35057491, -0.31245586, 0.00852333, 0.01142050, -0.00300850, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.06359141, -0.98396498, 0.21714340, 0.11348129, -0.05271658, -0.04628664, -39.52060699, -19.08798599, 101.92926025, 102.51486969, -3.15327430, 55.95868683, 0.54239714, -0.69661826, -0.35057837, -0.31244704, 0.00858555, 0.00900016, -0.00169657, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.01022254, -0.69551581, -0.70826542, 0.27071488, -0.29633832, -0.90285921, -44.54837799, -8.00935364, -105.46623993, 45.12971115, 1.52336752, 12.73875618, 0.91823059, -0.37996471, -0.05476630, -0.09736635, 0.01633168, -0.01292737, 0.00299726, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.01065310, -0.69572282, -0.70893610, 0.35935926, 0.04584302, -1.05501068, -44.78222656, -8.65244102, -105.08622742, 45.13312912, 1.53109324, 12.73154736, 0.91822743, -0.37998831, -0.05480714, -0.09728116, 0.01600852, -0.01275706, 0.00370888, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -0.06214929, -0.98242038, 0.21675166, 0.16587774, 0.03623794, -0.09706466, -39.52060699, -19.08798599, 101.92926025, 102.52749634, -3.20435381, 55.96965790, 0.54212058, -0.69676673, -0.35042876, -0.31276366, 0.00693276, 0.00748168, -0.00124084, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.01233554, -0.69502211, -0.70819968, 0.48395932, 0.14946632, -1.05433738, -44.81145859, -9.79245853, -105.49546814, 45.13782883, 1.53953850, 12.72507954, 0.91821957, -0.38002115, -0.05485727, -0.09719887, 0.01447657, -0.01350763, 0.00302833, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, -0.06008073, -0.98332256, 0.21888919, 0.23684435, -0.08638088, 0.02197270, -38.64366913, -20.43262100, 102.68927002, 102.52990723, -3.20437551, 55.96876144, 0.54210830, -0.69678098, -0.35042980, -0.31275219, 0.00418949, 0.00845838, -0.00320803, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.01477335, -0.69701946, -0.70850313, 0.59071124, 0.25281090, -1.01860821, -44.81145859, -9.79245853, -105.49546814, 45.14361954, 1.54846847, 12.71961308, 0.91820735, -0.38006175, -0.05491550, -0.09712246, 0.01218963, -0.01156884, 0.00339627, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, -0.05749340, -0.98322183, 0.21824355, 0.23700631, -0.13962686, 0.07314847, -39.11137009, -19.49722290, 100.29231262, 102.53237152, -3.20479846, 55.96723938, 0.54209602, -0.69679826, -0.35042518, -0.31273994, 0.00159859, 0.00836815, -0.00251858, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.01332519, -0.69597316, -0.70649076, 0.73359901, 0.10109108, -1.05724347, -44.81145859, -8.30166626, -105.02777100, 45.15444946, 1.52569604, 12.71154690, 0.91817212, -0.38017368, -0.05471568, -0.09712872, 0.01365089, -0.01271288, 0.00148280, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, -0.05892613, -0.98302668, 0.21838588, 0.22012529, -0.20901670, 0.07188699, -39.02367783, -21.60187149, 101.72463989, 102.53469086, -3.20504308, 55.96505356, 0.54208708, -0.69681650, -0.35041702, -0.31272396, 0.00302136, 0.00818212, -0.00262177, 0.00000000, 0.00000000, 0.00000000, 0.00000000
