SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.00571724, -0.68278295, -0.73722845, 0.48157614, -3.88535023, -4.68218660, -44.72376633, -6.13855600, -105.81700897, 42.47555161, 2.63595533, 10.93242168, 0.92839485, -0.35845417, -0.05583870, -0.08047175, 0.05168245, 0.00822315, 0.00044057, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.01001963, -0.68144959, -0.73415327, -0.50033545, -2.95858121, -4.78069496, -44.40222168, -6.60625553, -105.49546814, 42.46810913, 2.64582443, 10.87700462, 0.92845809, -0.35841250, -0.05573998, -0.07999517, 0.05610596, 0.00693886, -0.00267194, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.01606660, -0.67683792, -0.73543912, -1.37547052, -1.99696398, -4.70497417, -44.40222168, -6.31394339, -105.40777588, 42.46192169, 2.61348367, 10.82597637, 0.92850929, -0.35841429, -0.05531446, -0.07968699, 0.06218770, 0.00246841, -0.00151302, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, -0.0000, 0, -0.06329728, -0.99606425, 0.21968542, -3.75943422, 1.61591673, 1.44785082, -39.60830307, -19.61414719, 99.73691559, 101.37372589, -3.81918526, 60.34593582, 0.53445679, -0.67910808, -0.37040094, -0.34054562, -0.00319504, 0.01771923, -0.02358289, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.02161099, -0.67800516, -0.73667169, -1.98298860, -1.18585622, -4.59909964, -44.40222168, -6.31394339, -105.40777588, 42.44027710, 2.63535714, 10.78373432, 0.92860878, -0.35824099, -0.05534431, -0.07928599, 0.06744070, 0.00378545, -0.00043583, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -0.06384717, -0.99059600, 0.21835692, -3.98821354, 1.63090742, 1.34501731, -39.34521866, -21.16340256, 102.36772919, 101.33295441, -3.83556962, 60.35933304, 0.53460038, -0.67891693, -0.37027892, -0.34083390, -0.00293741, 0.01213301, -0.02294257, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, -0.02468243, -0.67352515, -0.73944700, -2.53733563, -0.16949777, -4.56008005, -44.34375763, -6.63548660, -105.67085266, 42.41338730, 2.66454625, 10.74851990, 0.92872024, -0.35801572, -0.05545184, -0.07892135, 0.07097486, -0.00035672, 0.00205961, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -0.06274407, -0.98570746, 0.21642578, -3.85977626, 1.34659207, 1.12984085, -39.34521866, -21.16340256, 102.36772919, 101.29361725, -3.84928346, 60.37035370, 0.53475189, -0.67873323, -0.37016010, -0.34109113, -0.00429611, 0.00712524, -0.02169755, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, -0.02933299, -0.67092979, -0.73875022, -2.41466594, 0.92170644, -4.19387531, -45.04530716, -6.34317446, -105.67085266, 42.38817215, 2.69941068, 10.72331619, 0.92882001, -0.35779446, -0.05563788, -0.07861915, 0.07619335, -0.00260013, 0.00107716, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -0.06142646, -0.98324853, 0.21434034, -3.39632368, 0.97922689, 1.06777549, -39.87138367, -19.96492195, 104.32621765, 101.25914764, -3.86165977, 60.37789536, 0.53488964, -0.67857999, -0.37004155, -0.34130865, -0.00583934, 0.00455850, -0.02023678, 0.00000000, 0.00000000, 0.00000000, 0.00000000
